filename	is_connected	largest_cc_nodes	total_nodes	largest_cc_ratio
339724.npz	False	686	1200	0.5716666666666667
339860.npz	False	292	383	0.762402088772846
340099.npz	False	426	595	0.7159663865546219
340100.npz	False	992	1345	0.737546468401487
340177.npz	False	434	553	0.7848101265822784
342108.npz	False	689	979	0.7037793667007151
342451.npz	False	507	683	0.7423133235724744
342610.npz	False	764	960	0.7958333333333333
342949.npz	False	303	413	0.7336561743341404
343509.npz	False	510	717	0.7112970711297071
344747.npz	False	36	309	0.11650485436893204
345073.npz	False	938	1606	0.5840597758405978
345219.npz	False	680	891	0.7631874298540965
347256.npz	False	53	98	0.5408163265306123
347834.npz	False	777	1145	0.6786026200873363
348780.npz	False	55	272	0.20220588235294118
349102.npz	False	684	980	0.6979591836734694
349106.npz	False	168	381	0.4409448818897638
349124.npz	False	586	728	0.804945054945055
349161.npz	False	497	735	0.6761904761904762
349163.npz	False	743	1032	0.7199612403100775
349307.npz	False	355	441	0.8049886621315193
349519.npz	False	361	506	0.7134387351778656
349520.npz	False	761	1217	0.6253081347576006
349521.npz	False	883	1284	0.6876947040498442
349741.npz	False	373	499	0.7474949899799599
350054.npz	False	972	1217	0.7986852917009039
350058.npz	False	1046	1353	0.7730968218773097
350688.npz	False	375	629	0.5961844197138315
351160.npz	False	383	540	0.7092592592592593
35128.npz	False	580	1053	0.5508072174738842
351348.npz	False	713	982	0.7260692464358453
351605.npz	False	671	969	0.6924664602683178
351607.npz	False	503	659	0.7632776934749621
351627.npz	False	385	615	0.6260162601626016
351746.npz	False	1098	1454	0.7551581843191196
352165.npz	False	107	302	0.3543046357615894
352914.npz	False	172	404	0.42574257425742573
353151.npz	False	99	279	0.3548387096774194
353152.npz	False	94	287	0.32752613240418116
353153.npz	False	530	1267	0.4183109707971586
353154.npz	False	111	365	0.3041095890410959
354242.npz	False	48	295	0.16271186440677965
355276.npz	False	392	587	0.6678023850085179
357244.npz	False	75	183	0.4098360655737705
357804.npz	False	745	978	0.7617586912065439
357808.npz	False	687	933	0.7363344051446945
357809.npz	False	557	890	0.6258426966292134
358681.npz	False	757	1128	0.6710992907801419
360095.npz	False	263	393	0.6692111959287532
360104.npz	False	415	544	0.7628676470588235
360105.npz	False	439	553	0.7938517179023508
360107.npz	False	329	433	0.7598152424942263
360910.npz	False	723	982	0.7362525458248472
360911.npz	False	498	714	0.6974789915966386
362663.npz	False	1197	1508	0.7937665782493368
362948.npz	False	329	445	0.7393258426966293
362976.npz	False	73	428	0.1705607476635514
363253.npz	False	233	380	0.6131578947368421
365044.npz	False	820	1127	0.7275953859804791
365046.npz	False	757	1039	0.7285851780558229
365659.npz	False	338	493	0.6855983772819473
36630.npz	False	1034	1577	0.6556753329105898
366394.npz	False	743	1039	0.7151106833493744
366602.npz	False	861	1140	0.7552631578947369
367336.npz	False	169	383	0.4412532637075718
367737.npz	False	445	612	0.7271241830065359
367775.npz	False	615	1130	0.5442477876106194
367928.npz	False	107	249	0.42971887550200805
368407.npz	False	389	542	0.7177121771217713
368408.npz	False	220	363	0.6060606060606061
36870.npz	False	217	262	0.8282442748091603
3694.npz	False	2870	4914	0.584045584045584
369723.npz	False	601	910	0.6604395604395604
3702.npz	False	10998	11256	0.9770788912579957
370354.npz	False	226	616	0.36688311688311687
370438.npz	False	426	592	0.7195945945945946
371731.npz	False	126	415	0.3036144578313253
372461.npz	False	74	106	0.6981132075471698
373153.npz	False	382	561	0.6809269162210339
373903.npz	False	408	601	0.6788685524126455
374463.npz	False	211	287	0.735191637630662
374847.npz	False	255	370	0.6891891891891891
375286.npz	False	642	872	0.7362385321100917
375451.npz	False	854	1230	0.6943089430894309
376619.npz	False	181	297	0.6094276094276094
376686.npz	False	656	781	0.8399487836107554
37692.npz	False	41	87	0.47126436781609193
377431.npz	False	30	276	0.10869565217391304
377629.npz	False	688	880	0.7818181818181819
378753.npz	False	509	660	0.7712121212121212
378806.npz	False	910	1230	0.7398373983739838
379066.npz	False	502	755	0.6649006622516557
